GTR1 ID,Index,Ticker Symbol,Company Name,CUSIP,field1=styp.a,field2=dspo:1,field16=ord:1,field10=perendq1.s,[Q1End],"field17=linear:1,field16,-1,field12",field39=sic.a,"field40=if:field39et6510!6512!6531!6798,1,0",[RealEstOps],field42=trbc2.s,"field43=ifet:field42,55,1,0",field46=fincd12.a,[Finance],[Financial],field3=shrinst.s,field4=float.s,field5=epsq1.s,field6=epsq5.s,field7=salesq1.s,field8=salesq5.s,"field9=trp:1,126","field13=agv:1,10",field18=gtoa.a,"field19=ratio:field13,field18","field20=linear:1,field5,-1,field6","field21=linear:1,field7,-1,field8",field24=csoq1d.s,field25=sprc,"field26=product:field24,field25",[MktCap],field31=fcfps12mq1d.s,"field32=ratio:field25,field31",[PFCF],"field14=agv:1,63",[VR],"field36=ratio:field14,field18","field37=ratio:field9,field36",[SORT],,,,,,
37159,5433,WLK,WESTLAKE CHEMICAL CORP,'960413102,11,4238,25247,25197,25197,50,2821,0,0,51,0,5,0,0,27.7,33.129,1.891,1.131,2357,1932,23.96239,2194680,5.605703,391508.5,0.76,425,128.133,102.42,13123.38,13123.38,6.73,15.21843,15.21843,3284042,0.6682864,585839.4,4.090266E-05,2.733469E-05,,,,,,
2402,2784,MATX,MATSON INC,'57686G105,11,12228,25247,25197,25197,50,3942,0,0,52,0,1,0,0,88.2,42.688,2.009,0.088,711.8,513.9,10.91471,30712.97,0.1451336,211618.6,1.921,197.9,43.43495,64.79,2814.151,2814.151,7.5,8.638667,8.638667,43234.25,0.7103851,297892.8,3.663971E-05,2.60283E-05,,,,,,
22629,4563,DORM,DORMAN PRODUCTS INC,'258278100,11,7621,25247,25194,25194,53,5010,0,0,53,0,9,0,0,79.9,26.773,1.021,0.704,288,257.7,4.656839,120782.5,1.511788,79893.8,0.317,30.29999,32.08258,102.93,3302.259,3302.259,4.22,24.391,24.391,181257.1,0.6663603,119895.8,3.884072E-05,2.588191E-05,,,,,,
40471,6796,PLOW,DOUGLAS DYNAMICS INC,'25960R105,11,2795,25247,25197,25197,50,3531,0,0,52,0,3,0,0,92.6,22.353,0.032,-0.442,103.3,68.2,2.017319,612545.8,6.732973,90977.02,0.474,35.10001,22.9546,43.35,995.0818,995.0818,1.99,21.78392,21.78392,570123.5,1.074409,84676.34,2.382388E-05,2.559659E-05,,,,,,
37033,664,MGI,MONEYGRAM INTERNATIONAL INC,'60935Y208,11,4266,25247,25197,25197,50,7389,0,0,52,0,12,0,0,51.5,73.047,-0.193,-0.278,310.1,290.9,56.38126,3.339356E+08,125.2155,2666888,0.08499999,19.20001,79.67112,9.68,771.2165,771.2165,0.66,14.66667,14.66667,3.055931E+08,1.092746,2440538,2.310198E-05,2.52446E-05,,,,,,
43189,3328,ALV,AUTOLIV INC,'052800109,11,6071,25247,25197,25197,50,3714,0,0,53,0,2,0,0,46.6,87.268,1.796,0.857,2242,1845.8,12.63518,4319702,12.75339,338710.2,0.939,396.2,87.42463,105.51,9224.172,9224.172,6.030001,17.49751,17.49751,5325884,0.811077,417605.5,3.025627E-05,2.454016E-05,,,,,,
5033,1590,EVTC,EVERTEC INC,'30040P103,11,2056,25247,25197,25197,50,7374,0,0,52,0,6,0,0,82.7,60.003,0.492,0.309,139.5,121.9,11.45233,4491336,18.2281,246396.3,0.183,17.6,72.16351,44.09,3181.689,3181.689,2.24,19.68303,19.68303,6464010,0.6948219,354617.9,3.229484E-05,2.243916E-05,,,,,,
31098,4598,NSP,INSPERITY INC,'45778Q107,11,6132,25247,25197,25197,50,7363,0,0,52,0,12,0,0,91.8,36.055,1.615,1.591,1286.8,1229.5,6.7945,673415.2,3.149618,213808.6,0.02400005,57.30005,38.6749,92.52449,3578.375,3578.375,4.41,20.98061,20.98061,803248.9,0.8383643,255030.6,2.66419E-05,2.233562E-05,,,,,,
41457,38,IGT,INTERNATIONAL GAME TECHNOLOGY,'G4863A108,12,1557,25247,25197,25197,50,7999,0,0,53,0,12,0,0,44.1,99.082,0.449,-1.213,1015,814,66.49077,9.587878E+07,62.75064,1527933,1.662,201,204.8555,25.24,5170.552,5170.552,3.51,7.190883,7.190883,1.349757E+08,0.7103412,2150985,3.091178E-05,2.195791E-05,,,,,,
5768,26,TKR,TIMKEN COMPANY THE,'887389104,11,24043,25247,25197,25197,50,3562,0,0,52,0,3,0,0,82.7,66.643,1.494,1.069,1025.4,923.4,12.55891,7863.868,0.01740366,451851.3,0.425,102,75.98387,84.74001,6438.874,6438.874,4.54,18.6652,18.6652,9066.48,0.8673562,520952.4,2.41076E-05,2.090988E-05,,,,,,
